time,x,rho,u,p,T,energy
0.949039,0.815,0.0885861,1,10000,312.267,282212
0.949039,0.825,0.0887585,1,10000,311.66,281664
0.949039,0.835,0.0889329,1,10000,311.049,281111
0.949039,0.845,0.0891091,1,10000,310.434,280555
0.949039,0.855,0.0892872,1,10000,309.815,279996
0.949039,0.865,0.0894673,1,10000,309.191,279432
0.949039,0.875,0.0896493,1,10000,308.564,278865
0.949039,0.885,0.0898334,1,10000,307.931,278293
0.949039,0.895,0.0900194,1,10000,307.295,277718
0.949039,0.905,0.0902076,1,10000,306.654,277139
0.949039,0.915,0.0903978,1,10000,306.009,276556
0.949039,0.925,0.0905901,1,10000,305.359,275969
0.949039,0.935,0.0907845,1,10000,304.705,275378
0.949039,0.945,0.0909812,1,10000,304.047,274783
0.949039,0.955,0.09118,1,10000,303.384,274183
0.949039,0.965,0.0913811,1,10000,302.716,273580
0.949039,0.975,0.0915844,1,10000,302.044,272973
0.949039,0.985,0.0917901,1,10000,301.367,272361
0.949039,0.995,0.091998,1,10000,300.686,271745
